Class,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17
hate,job,hunt,tri,day,noth,work,bet,even,work,strip,club,cider,belli,,,,
hate,weirdo,leav,alon,,,,,,,,,,,,,,
hate,ow,roll,toe,desk,chair,,,,,,,,,,,,
hate,suck,go,jail,tweet,anymor,,,,,,,,,,,,
hate,get,sniffl,signific,want,get,sick,need,,,,,,,,,,
hate,get,wake,mom,entir,first,floor,flood,furnitur,curtain,mom,expens,rug,soak,ruin,,,
hate,bugger,know,shame,peopl,stick,nose,,,,,,,,,,,
hate,hate,florist,rise,tomorrow,fag,florist,peopl,need,someth,els,,,,,,,
hate,impress,go,away,complain,much,,,,,,,,,,,,
hate,hate,new,section,school,year,,,,,,,,,,,,
hate,stupid,keep,freez,think,never,freez,,,,,,,,,,,
hate,go,world,lucki,bitch,,,,,,,,,,,,,
hate,thank,god,hour,workday,need,stand,run,around,much,sit,honest,tea,,,,,
hate,yeah,suck,eh,,,,,,,,,,,,,,
hate,slept,hour,last,night,still,stick,fever,,,,,,,,,,
hate,picki,put,mouth,hate,onion,make,cri,,,,,,,,,,
hate,half,hour,go,lesson,guess,wait,wait,coupl,hour,signific,,,,,,,
hate,class,realli,long,realli,get,hungri,,,,,,,,,,,
hate,give,hater,hug,peopl,,,,,,,,,,,,,
hate,work,,,,,,,,,,,,,,,,
hate,stupid,wont,let,,,,,,,,,,,,,,
hate,signific,disappoint,human,kind,wrong,world,girl,garden,innoc,enjoy,good,weather,,,,,
hate,work,god,hate,,,,,,,,,,,,,,
hate,back,good,time,kiss,hate,headach,,,,,,,,,,,
hate,fuck,freez,need,,,,,,,,,,,,,,
hate,hate,revis,,,,,,,,,,,,,,,
hate,train,bristol,terribl,,,,,,,,,,,,,,
hate,news,kid,find,parent,,,,,,,,,,,,,
hate,stupid,hip,hate,even,break,new,kick,,,,,,,,,,
hate,slow,hate,get,get,,,,,,,,,,,,,
hate,think,unfair,get,depress,hater,,,,,,,,,,,,
hate,realli,necessari,ever,hear,school,horribl,mum,,,,,,,,,,
hate,wast,way,much,paper,offic,noth,worthi,almost,disgust,,,,,,,,
hate,tweet,signific,hard,get,,,,,,,,,,,,,
hate,look,noth,twitter,avatar,,,,,,,,,,,,,
hate,hate,live,fl,miss,crazi,say,know,get,till,go,mind,,,,,,
hate,next,hate,,,,,,,,,,,,,,,
hate,hate,signific,tire,signific,hard,get,thought,suppos,start,get,energi,back,,,,,
hate,fuck,toni,,,,,,,,,,,,,,,
hate,wait,yet,pleas,let,,,,,,,,,,,,,
hate,open,offic,writer,weird,need,word,open,word,document,correctli,,,,,,,
hate,shower,back,bed,signific,sick,still,,,,,,,,,,,
hate,weather,suck,film,becom,mayb,least,banquet,tonight,,,,,,,,,
hate,ground,tonight,hate,stupid,silent,mode,,,,,,,,,,,
hate,back,fuck,school,,,,,,,,,,,,,,
hate,signific,send,red,ring,death,suck,take,week,get,mine,back,,,,,,
hate,new,car,alreadi,give,problem,cant,good,sign,,,,,,,,,
hate,crisi,shit,,,,,,,,,,,,,,,
hate,link,work,reason,,,,,,,,,,,,,,
hate,drop,,,,,,,,,,,,,,,,
hate,hate,stock,,,,,,,,,,,,,,,
hate,finish,mind,map,stupid,sheet,hid,section,back,,,,,,,,,
hate,signific,learn,,,,,,,,,,,,,,,
hate,worst,day,ever,noon,,,,,,,,,,,,,
hate,want,straighten,ship,cost,pound,deal,,,,,,,,,,,
hate,wait,time,get,whenev,feel,,,,,,,,,,,,
hate,son,bitch,media,thing,stream,music,home,work,play,music,,,,,,,
hate,even,random,rememb,ha,cant,lame,,,,,,,,,,,
hate,laugh,loud,bk,year,go,come,yet,,,,,,,,,,
hate,tell,go,cameo,movi,award,say,piss,guess,fight,,,,,,,,
hate,frustrat,mood,partner,work,ugh,,,,,,,,,,,,
hate,ever,piss,think,mean,cast,relat,crap,,,,,,,,,,
hate,last,intens,test,go,econom,man,,,,,,,,,,,
hate,ugh,hate,car,miss,littl,ford,focu,,,,,,,,,,
hate,get,readi,tonight,teacher,dinner,beach,rain,hate,,,,,,,,,
hate,mean,teach,,,,,,,,,,,,,,,
hate,damn,replac,display,work,hardwar,almost,half,price,,,,,,,,,
hate,signific,get,day,caus,hundr,thing,wake,go,day,bed,,,,,,,
hate,yeah,thing,hate,,,,,,,,,,,,,,
hate,look,desk,good,grief,,,,,,,,,,,,,
hate,hate,hiccup,,,,,,,,,,,,,,,
hate,hate,put,new,contact,,,,,,,,,,,,,
hate,exam,hate,vocab,,,,,,,,,,,,,,
hate,holi,crap,take,beat,unseed,qualifi,back,doubl,,,,,,,,,
hate,go,back,tonight,,,,,,,,,,,,,,
hate,today,know,life,empti,that,sad,real,,,,,,,,,,
hate,key,crack,crap,kind,miss,old,phone,alreadi,,,,,,,,,
hate,hot,station,pack,train,pack,window,open,train,roast,sardin,,,,,,,
hate,stop,go,turn,bitch,section,parent,come,home,,,,,,,,,
hate,hate,damn,near,forc,go,place,especi,sit,bu,entir,day,sit,hous,,,,
hate,languish,hell,,,,,,,,,,,,,,,
hate,guy,unfair,,,,,,,,,,,,,,,
hate,oh,god,moth,live,fuck,power,outlet,actual,,,,,,,,,
hate,hate,comput,signific,much,,,,,,,,,,,,,
hate,signific,much,amaz,day,pervert,ruin,,,,,,,,,,,
hate,feet,cold,hate,feet,get,cold,,,,,,,,,,,
hate,torrent,crash,hour,download,do,time,appar,fan,ever,,,,,,,,
hate,coverag,sky,dish,realli,realli,bad,moment,block,place,realli,annoy,,,,,,
hate,project,suck,,,,,,,,,,,,,,,
hate,basketbal,flat,massiv,spider,pavement,chalk,sun,go,fuck,life,,,,,,,
hate,good,holiday,revis,,,,,,,,,,,,,,
hate,happen,need,phone,,,,,,,,,,,,,,
hate,hello,back,drunk,much,friend,hate,unintent,make,feel,inadequ,,,,,,,
hate,jealousi,make,differ,person,hate,way,get,suck,guess,,,,,,,,
hate,hot,day,work,area,manag,signific,happi,go,home,,,,,,,,
hate,man,suck,,,,,,,,,,,,,,,
hate,aw,xx,,,,,,,,,,,,,,,
hate,oh,hate,even,,,,,,,,,,,,,,
hate,oh,forget,thing,see,hat,,,,,,,,,,,,
hate,still,work,,,,,,,,,,,,,,,
hate,oh,god,guy,know,get,nasti,head,hurt,,,,,,,,,
hate,wait,long,line,chick,,,,,,,,,,,,,
hate,need,train,icebox,,,,,,,,,,,,,,
hate,come,home,get,ratti,shop,staff,blister,foot,,,,,,,,,
hate,flip,flop,menac,cut,feet,,,,,,,,,,,,
hate,suck,,,,,,,,,,,,,,,,
hate,work,get,meet,staff,big,bad,boss,today,,,,,,,,,
hate,hell,rain,hate,rain,,,,,,,,,,,,,
hate,ooh,comput,make,come,bore,block,everyon,,,,,,,,,,
hate,twenti,minut,fuck,call,think,person,mention,alreadi,troubl,ticket,investig,issu,,,,,
hate,oh,signific,sorri,feel,pain,kill,alway,one,find,,,,,,,,
hate,hate,sick,watch,aton,sleep,,,,,,,,,,,,
hate,hate,gloom,get,signific,excit,beach,,,,,,,,,,,
hate,week,palm,come,die,temp,phone,contact,transfer,yet,,,,,,,,
hate,god,hate,scari,movi,fun,wimpi,,,,,,,,,,,
hate,die,use,account,year,cant,support,dead,also,know,hello,script,,,,,,
hate,travesti,,,,,,,,,,,,,,,,
hate,day,think,look,forward,,,,,,,,,,,,,
hate,left,school,new,dress,break,strap,rip,,,,,,,,,,
hate,get,key,new,flat,gorgeou,weather,weekend,spend,pack,,,,,,,,
hate,deal,raini,day,hell,happen,summer,signific,cold,,,,,,,,,
hate,get,work,today,go,long,ass,day,,,,,,,,,,
hate,walk,class,hate,bike,especi,mine,,,,,,,,,,,
hate,love,tell,match,shirt,perfectli,move,pleas,suppos,,,,,,,,,
hate,email,,,,,,,,,,,,,,,,
hate,postpon,stupid,weather,sunni,work,tan,preschool,grad,night,,,,,,,,
hate,last,night,cork,come,tomorrow,even,rememb,doubl,sad,face,word,lili,fair,,,,
hate,stupid,connect,ruin,great,scrabbl,game,,,,,,,,,,,
hate,hat,work,till,day,feel,wast,day,,,,,,,,,,
hate,even,look,fabric,need,polar,fleec,extra,go,needl,thread,,,,,,,
hate,today,friendli,game,asshol,hit,knee,lie,bed,heat,cream,stink,ice,bore,much,,,
hate,oh,god,lg,touchscreen,roll,new,contract,month,,,,,,,,,
hate,what,video,cant,watch,,,,,,,,,,,,,
hate,signific,gut,get,ticket,pink,,,,,,,,,,,,
hate,somewhat,irrit,peopl,come,ask,signific,signific,look,familiar,thought,origin,,,,,,
hate,train,turn,microwav,,,,,,,,,,,,,,
hate,realli,get,sick,ugh,nurs,home,lay,bed,go,run,later,watch,movi,leav,,,
hate,slowli,go,drive,crazi,hate,leaki,faucet,frustrat,readi,nap,work,,,,,,
hate,never,field,human,conflict,signific,mani,hard,drive,die,wast,day,,,,,,
hate,go,hate,long,drive,want,get,paper,work,,,,,,,,,
hate,shut,fool,fact,keep,abandon,,,,,,,,,,,,
hate,send,home,yest,work,today,feel,hell,burn,high,temp,get,hubbi,,,,,
hate,lose,bowl,suck,,,,,,,,,,,,,,
hate,signific,hot,today,hate,new,timet,bad,week,,,,,,,,,
hate,hate,park,car,get,hit,,,,,,,,,,,,
hate,white,shoe,make,cring,white,shoe,give,paus,,,,,,,,,
hate,mouth,hurt,stupid,retain,,,,,,,,,,,,,
hate,oh,god,want,blow,tooth,hurt,,,,,,,,,,,
hate,up,cabl,compani,show,last,possibl,moment,take,nap,school,get,,,,,,
hate,still,deal,quit,bit,pain,jump,soon,lay,frustrat,thank,ask,,,,,,
hate,bro,laptop,comp,stick,,,,,,,,,,,,,
hate,feed,stupid,bot,add,,,,,,,,,,,,,
hate,finish,read,chuck,pygmi,kind,hat,realli,disappoint,pretti,high,hope,,,,,,
hate,hang,airport,get,hour,wait,go,anywher,way,garbag,,,,,,,,
hate,way,work,damn,sinu,headach,suck,,,,,,,,,,,
hate,get,tire,kitchen,signific,swept,mop,floor,dri,work,top,,,,,,,
hate,sit,martin,class,stupid,realli,want,jealou,,,,,,,,,,
hate,slow,answer,,,,,,,,,,,,,,,
hate,link,deni,work,,,,,,,,,,,,,,
hate,everyon,want,text,,,,,,,,,,,,,,
hate,make,fail,right,mayb,hat,,,,,,,,,,,,
hate,get,outbid,last,second,,,,,,,,,,,,,
hate,bad,back,piss,poor,front,tho,still,unbroken,,,,,,,,,
hate,live,age,constant,commun,anyon,return,text,,,,,,,,,,
hate,signific,signific,upset,especi,fear,get,hug,tomorrow,,,,,,,,,
hate,upload,video,network,train,realli,slow,,,,,,,,,,,
hate,sometim,get,tire,deal,dilemma,,,,,,,,,,,,
hate,drive,nut,,,,,,,,,,,,,,,
hate,shit,friend,state,know,help,noth,say,seem,help,wish,know,say,,,,,
hate,oh,yeah,mom,tell,thought,mean,twitter,id,confus,suck,sick,,,,,,
hate,creatur,song,infest,brain,,,,,,,,,,,,,
hate,hate,life,,,,,,,,,,,,,,,
hate,hate,khaki,pant,project,,,,,,,,,,,,,
hate,dear,allergi,hate,pleas,go,away,love,alway,victim,,,,,,,,
hate,fuck,clean,whole,kitchen,asshol,come,home,go,make,mess,mom,even,get,see,,,
hate,john,make,wear,mask,glove,work,caus,sick,say,want,catch,swine,flu,,,,
hate,hut,face,hammer,earlier,accid,obvious,hurt,,,,,,,,,,
hate,hat,everyth,seafood,signific,happen,serv,lobster,chow,hall,get,headach,ugh,,,,,
hate,screw,phone,broken,bother,,,,,,,,,,,,,
hate,want,shoot,hate,second,time,get,new,camera,chanc,pitch,black,,,,,,
hate,work,want,somebodi,come,,,,,,,,,,,,,
hate,heat,global,warm,eventu,destroy,earth,sun,inevit,eat,planet,grim,,,,,,
hate,busi,busi,bee,wish,laundri,worst,,,,,,,,,,,
hate,hate,dream,market,keep,head,bunt,,,,,,,,,,,
hate,carter,boy,see,video,say,privat,want,see,,,,,,,,,
hate,work,want,back,colleg,connect,,,,,,,,,,,,
hate,realli,ck,right,wrong,,,,,,,,,,,,,
hate,sad,make,bought,guitar,hero,hard,work,soldier,read,disc,,,,,,,
hate,actual,room,stay,night,stay,street,,,,,,,,,,,
hate,almost,tomorrow,start,mud,,,,,,,,,,,,,
hate,hate,go,miss,tweet,weekend,,,,,,,,,,,,
hate,readi,kill,hate,histori,,,,,,,,,,,,,
hate,flash,shitti,tonight,take,time,open,,,,,,,,,,,
hate,terribl,cartoon,suppos,,,,,,,,,,,,,,
hate,funni,profil,ass,fuck,still,kinda,heat,ugh,,,,,,,,,
hate,electron,key,stop,work,keyhol,cant,get,car,signific,much,technolog,,,,,,
hate,hate,crowd,,,,,,,,,,,,,,,
hate,weekend,sunni,get,punctur,,,,,,,,,,,,,
hate,feel,signific,much,cant,say,hi,,,,,,,,,,,
hate,someon,give,speech,love,one,hospit,stupid,comm,class,,,,,,,,
hate,know,,,,,,,,,,,,,,,,
hate,hate,dentist,,,,,,,,,,,,,,,
hate,suck,actual,mine,bad,mine,ft,math,,,,,,,,,,
hate,unfair,signific,hat,,,,,,,,,,,,,,
hate,effect,stuck,sit,let,cramp,lie,pay,consequ,later,,,,,,,,
hate,wow,instal,twitter,fox,tire,keep,refresh,browser,,,,,,,,,
hate,dido,littl,god,moment,let,stop,fill,word,make,panic,,,,,,,
hate,get,nerv,cant,chang,,,,,,,,,,,,,
hate,tummi,hurt,oh,noe,,,,,,,,,,,,,
hate,special,alreadi,wore,mum,shoe,well,blister,suck,ball,,,,,,,,
hate,well,good,thing,march,long,caus,delet,,,,,,,,,,
hate,signific,hate,rid,bu,damn,sauna,summer,like,kill,guy,seat,shower,month,,,,
hate,return,sideway,fuck,bill,,,,,,,,,,,,,
hate,hate,break,wrist,next,,,,,,,,,,,,,
hate,bet,black,planet,laugh,loud,problem,ugli,,,,,,,,,,
hate,signific,bore,chem,super,hungri,,,,,,,,,,,,
hate,signific,tire,still,move,new,place,pm,caus,work,signific,stress,,,,,,
hate,stupid,idiot,run,stop,sing,almost,kill,car,,,,,,,,,
hate,bother,eh,caus,almost,talk,,,,,,,,,,,,
hate,realli,hate,revis,,,,,,,,,,,,,,
hate,okay,signific,want,scream,one,doc,do,day,week,,,,,,,,
hate,hey,sick,,,,,,,,,,,,,,,
hate,oh,fuck,return,supermarket,doom,find,noth,drink,,,,,,,,,
hate,boo,,,,,,,,,,,,,,,,
hate,slam,finger,trunk,,,,,,,,,,,,,,
hate,know,sure,suck,id,weekend,go,miser,week,signific,drink,,,,,,,
hate,notic,get,locat,right,mayb,way,preview,send,handi,,,,,,,,
hate,yeah,super,crap,today,stupid,write,,,,,,,,,,,
hate,still,hat,whole,twitter,repli,thing,feel,miss,bit,,,,,,,,
hate,work,man,signific,bad,job,whole,team,want,leav,believ,make,money,,,,,
hate,geometri,signific,damn,bore,wast,time,minut,leav,,,,,,,,,
hate,hate,job,clip,coupon,go,hous,top,bottom,make,groceri,list,take,forev,major,shop,trip,
hate,hate,weather,wan,bake,,,,,,,,,,,,,
hate,oh,hate,work,hour,today,utterli,crap,miss,everyth,manag,forum,min,break,,,,
hate,leav,due,focu,project,hope,complaint,theater,manag,get,fix,everyon,els,still,,,,
hate,anymor,couch,middl,floor,realli,finish,,,,,,,,,,,
hate,almost,die,laptop,screen,set,bright,reinstal,window,vista,get,headach,,,,,,
hate,know,need,sleep,show,,,,,,,,,,,,,
hate,dumb,reason,dresser,sticki,top,reason,famili,histori,book,get,attach,back,jack,,,,
hate,loll,get,sun,stuff,forget,back,leg,tan,laugh,loud,hurt,bad,right,,,,
hate,okay,twitter,anymor,studi,ugh,hate,school,thoroughli,,,,,,,,,
hate,travesti,peopl,say,think,involv,joss,,,,,,,,,,,
hate,phone,hp,,,,,,,,,,,,,,,
hate,night,still,work,wait,morn,alreadi,,,,,,,,,,,
hate,borrow,mom,laptop,batteri,life,suck,ball,quarter,serious,miss,pro,,,,,,
hate,thing,hate,playoff,pen,hockey,much,ticket,want,go,game,ticket,,,,,,
hate,wish,kidnap,work,,,,,,,,,,,,,,
hate,damn,fight,night,demo,load,keep,crash,first,screen,time,delet,download,think,,,,
hate,hate,weather,live,whole,life,get,use,alway,raini,,,,,,,,
hate,wish,TRUE,realli,realli,bad,stay,home,chill,tonight,usual,realli,want,go,,,,
hate,music,trailer,terribl,opinion,cheesi,handbag,hous,expect,hard,hous,,,,,,,
hate,funer,,,,,,,,,,,,,,,,
hate,get,run,make,head,explod,,,,,,,,,,,,
hate,telemarket,get,phone,call,today,afternoon,,,,,,,,,,,
hate,head,pull,golf,place,think,rip,someth,yeah,,,,,,,,,
hate,terribl,littl,beast,garden,small,simpli,collect,buy,poison,food,pellet,,,,,,
hate,patch,test,smear,white,duvet,cover,fuck,cunt,,,,,,,,,
hate,anyon,ticket,movi,award,guy,scam,,,,,,,,,,,
hate,week,aw,,,,,,,,,,,,,,,
hate,keep,bump,mous,signific,comput,go,sleep,access,file,work,slow,,,,,,
hate,new,driver,licens,design,ugli,,,,,,,,,,,,
hate,cant,get,phone,phone,suck,,,,,,,,,,,,
hate,complet,bum,stick,ford,focu,weekend,car,shop,,,,,,,,,
hate,hate,snood,laugh,loud,sorri,know,peopl,play,,,,,,,,,
hate,hate,take,bite,appl,nasti,sad,panda,,,,,,,,,,
hate,want,quit,job,,,,,,,,,,,,,,
hate,where,music,still,empti,,,,,,,,,,,,,
hate,signific,jealou,pour,right,,,,,,,,,,,,,
hate,realli,weather,,,,,,,,,,,,,,,
hate,well,twitter,even,work,phone,anymor,,,,,,,,,,,
hate,sorri,parent,come,eat,hous,hunt,,,,,,,,,,,
hate,think,think,ignor,good,day,,,,,,,,,,,,
hate,oh,suck,,,,,,,,,,,,,,,
hate,brother,irrit,take,wear,cloth,ask,want,punch,violent,shit,,,,,,,
hate,whole,differ,mean,work,,,,,,,,,,,,,
hate,mad,make,time,yucki,cut,deal,hr,tear,kill,,,,,,,,
hate,trickeri,exasper,see,gay,pride,hijack,polit,big,uglier,anyth,mean,,,,,,
hate,bail,sponsorship,,,,,,,,,,,,,,,
hate,angri,person,groggi,uncomfort,still,drive,,,,,,,,,,,
hate,shit,,,,,,,,,,,,,,,,
hate,ear,pop,,,,,,,,,,,,,,,
hate,ugh,boom,boom,pow,stuck,head,hate,song,,,,,,,,,
hate,fuck,life,car,prohibit,find,job,,,,,,,,,,,
hate,signific,excit,eat,buy,day,terribl,sweet,,,,,,,,,,
hate,boo,total,bore,,,,,,,,,,,,,,
hate,wont,work,keep,pod,offici,hate,,,,,,,,,,,
hate,pure,twitter,friend,pure,nymph,summit,miss,guy,,,,,,,,,
hate,oh,damn,realli,suck,,,,,,,,,,,,,
hate,hate,go,work,night,micro,least,get,work,,,,,,,,,
hate,need,lay,cramp,suck,asshol,,,,,,,,,,,,
hate,damn,cut,bout,shoot,sum,guy,eye,,,,,,,,,,
hate,tell,member,privat,beta,go,start,pretend,assassin,peopl,,,,,,,,
hate,signific,freak,tire,want,sleep,pattern,normal,,,,,,,,,,
hate,screw,guy,prom,pictur,,,,,,,,,,,,,
hate,stupid,job,know,,,,,,,,,,,,,,
hate,new,dress,look,sort,horribl,,,,,,,,,,,,
hate,alon,sick,assign,someon,,,,,,,,,,,,,
hate,hate,alarm,go,,,,,,,,,,,,,,
hate,finish,play,lose,mag,,,,,,,,,,,,,
hate,weather,gross,put,bad,mood,,,,,,,,,,,,
hate,want,bad,hate,miss,gumbo,shoot,signific,gumbo,,,,,,,,,
hate,mad,hell,someon,steal,pink,black,print,pump,want,wear,today,god,glori,abundantli,,,
hate,work,depress,hell,want,someon,come,holiday,august,,,,,,,,,
hate,signific,want,loan,money,anyon,damn,economi,kick,,,,,,,,,
hate,phone,disconnect,right,middl,also,first,tweet,steam,,,,,,,,,
hate,happi,school,peopl,piss,sometim,,,,,,,,,,,,
hate,ugh,noth,valley,serious,get,,,,,,,,,,,,
hate,hat,geographi,,,,,,,,,,,,,,,
hate,troubl,network,,,,,,,,,,,,,,,
hate,start,slimmer,morn,still,go,hate,alway,want,password,,,,,,,,
hate,wow,seem,lifetim,never,chang,home,phone,broadband,ova,week,,,,,,,
hate,like,up,much,today,,,,,,,,,,,,,
hate,tri,put,wont,work,,,,,,,,,,,,,
hate,even,send,nice,bid,,,,,,,,,,,,,
hate,hate,citi,traffic,suck,,,,,,,,,,,,,
hate,blah,boo,dunno,wan,go,work,hangov,drunk,mess,,,,,,,,
hate,case,touch,liter,fall,apart,signific,junk,,,,,,,,,,
hate,bit,tire,blame,rain,,,,,,,,,,,,,
hate,eat,burger,jack,box,sure,want,continu,eat,burger,,,,,,,,
hate,want,get,brace,remov,bad,,,,,,,,,,,,
hate,want,appli,job,,,,,,,,,,,,,,
hate,hate,hair,hiss,tee,feel,hang,ghetto,di,style,,,,,,,,
hate,delay,flight,la,delay,flight,feel,damn,depress,,,,,,,,,
hate,new,resign,hate,chang,,,,,,,,,,,,,
hate,chair,comfort,,,,,,,,,,,,,,,
hate,becom,mother,slave,,,,,,,,,,,,,,
hate,happi,channel,rubbish,rubbish,get,poster,dude,,,,,,,,,,
hate,get,hair,cut,suck,peopl,scream,instead,talk,probabl,go,hour,,,,,,
hate,day,comput,end,dang,hate,allow,comput,,,,,,,,,,
hate,new,resign,hate,chang,,,,,,,,,,,,,
hate,think,violat,,,,,,,,,,,,,,,
hate,smoke,suck,suck,fuck,suck,want,,,,,,,,,,,
hate,new,redesign,hate,chang,,,,,,,,,,,,,
hate,everyon,vote,movi,award,doe,work,,,,,,,,,,,
hate,surround,student,hous,barbecu,play,shit,music,hardli,conduc,good,job,appli,frame,mind,,,
hate,head,park,facil,turn,permit,renew,mean,check,month,,,,,,,,
hate,hate,rain,laugh,thank,smile,miss,load,stop,cri,,,,,,,,
hate,get,much,work,,,,,,,,,,,,,,
hate,work,signific,guess,stick,,,,,,,,,,,,,
hate,agre,time,year,chang,motto,soggi,state,backyard,look,swim,pool,,,,,,
hate,tell,peopl,matter,leav,alon,fuck,,,,,,,,,,,
hate,get,lock,call,lock,smith,,,,,,,,,,,,
hate,damn,real,fuck,,,,,,,,,,,,,,
hate,hate,,,,,,,,,,,,,,,,
hate,pier,buzz,littl,girl,sing,,,,,,,,,,,,
hate,bad,mood,annoy,sunni,,,,,,,,,,,,,
hate,watch,tonight,mate,kiss,,,,,,,,,,,,,
hate,suck,,,,,,,,,,,,,,,,
hate,hate,see,ever,especi,next,week,anyon,go,yum,,,,,,,,
hate,work,rag,head,,,,,,,,,,,,,,
hate,that,shit,come,,,,,,,,,,,,,,
hate,angri,inform,,,,,,,,,,,,,,,
hate,offic,mine,drive,nut,especi,kid,,,,,,,,,,,
hate,ugh,hate,wait,airport,find,seat,outlet,,,,,,,,,,
hate,hate,money,roll,payday,,,,,,,,,,,,,
hate,sure,offic,men,women,capac,realiz,shut,unholi,fuck,,,,,,,,
hate,realli,annoy,comput,let,get,site,know,man,,,,,,,,,
hate,come,conclus,chicken,tast,signific,much,lunch,,,,,,,,,,
hate,dammit,slept,even,less,weekend,enjoy,bbl,,,,,,,,,,
hate,id,happi,that,work,tomorrow,blah,,,,,,,,,,,
hate,oh,believ,kill,hate,stringer,,,,,,,,,,,,
hate,think,okay,math,test,today,realli,realli,realli,hope,swear,get,signific,mad,,,,
hate,cold,signific,cold,fuck,,,,,,,,,,,,,
hate,suck,,,,,,,,,,,,,,,,
hate,nurs,cough,lung,,,,,,,,,,,,,,
hate,signific,eye,doctor,guy,take,forev,sit,cold,room,jerk,,,,,,,
hate,think,need,defin,mean,clue,year,,,,,,,,,,,
hate,yesterday,suck,,,,,,,,,,,,,,,
hate,weather,,,,,,,,,,,,,,,,
hate,suck,wear,suit,temp,go,degre,someon,sit,next,,,,,,,,
hate,equal,fail,hall,fuck,life,close,caus,construct,,,,,,,,,
hate,signific,overpric,hate,money,,,,,,,,,,,,,
hate,come,see,host,spend,lot,money,noth,bore,,,,,,,,,
hate,oh,get,paperwork,new,job,go,take,,,,,,,,,,
hate,depress,best,friend,piss,,,,,,,,,,,,,
hate,subject,frosti,beer,bloodi,fridg,conk,beer,warm,,,,,,,,,
hate,car,crash,horribl,see,,,,,,,,,,,,,
hate,enjoy,fresh,mango,bubbl,tea,slush,still,work,,,,,,,,,
hate,hate,place,,,,,,,,,,,,,,,
hate,hate,edit,loos,tweet,alway,notic,spell,mistak,millisecond,click,updat,,,,,,
hate,mad,quiz,answer,bet,ford,fusion,sweepstak,wrong,,,,,,,,,
hate,fuck,day,fli,get,thing,hour,,,,,,,,,,,
hate,thing,prepar,sermon,week,think,do,prepar,slide,,,,,,,,,
hate,make,good,time,fuck,traffic,photo,,,,,,,,,,,
hate,twitter,hate,cant,put,photo,page,,,,,,,,,,,
hate,well,clock,twitter,friend,hate,commut,heavi,rain,,,,,,,,,
hate,sorri,make,sure,bomb,talk,next,month,penanc,,,,,,,,,
hate,get,colleg,email,account,way,rub,graduat,,,,,,,,,,
hate,think,fuck,hate,peopl,follow,yet,loon,,,,,,,,,,
hate,signific,angri,right,today,noth,classmat,ye,think,stay,friend,comput,hope,,,,,
hate,great,time,last,night,eye,burn,hurt,bad,,,,,,,,,
hate,damn,say,share,info,kill,evil,eddi,want,info,give,,,,,,,
hate,realli,bore,senior,board,shit,hungri,cold,,,,,,,,,,
hate,hate,tremor,stupid,,,,,,,,,,,,,,
hate,comput,stupid,wont,let,vote,vote,,,,,,,,,,,
hate,think,ugli,dumb,ass,know,,,,,,,,,,,,
hate,chees,hate,chees,,,,,,,,,,,,,,
hate,hate,alway,cost,signific,much,money,,,,,,,,,,,
hate,know,fuck,dick,realli,want,go,go,fuck,wed,damn,,,,,,,
hate,give,bitch,caus,ill,actual,,,,,,,,,,,,
hate,friend,bore,gosh,hate,rain,,,,,,,,,,,,
hate,read,phone,book,nope,clap,poor,holli,grab,piti,vote,shark,,,,,,
hate,suck,,,,,,,,,,,,,,,,
hate,oop,late,,,,,,,,,,,,,,,
hate,lunch,depress,ball,realli,sad,,,,,,,,,,,,
hate,bore,ass,confer,call,get,go,home,nap,,,,,,,,,
hate,wait,load,annoy,,,,,,,,,,,,,,
hate,signific,cool,call,phone,let,call,number,,,,,,,,,,
hate,good,visibl,shot,show,total,decoupl,low,mid,level,center,system,dead,wait,next,one,,
hate,car,crash,bad,,,,,,,,,,,,,,
hate,signific,slow,,,,,,,,,,,,,,,
hate,make,huge,revel,dish,everyon,leav,total,forget,hate,happen,,,,,,,
hate,niec,learn,yesterday,use,comput,hour,sleep,cranki,behav,ass,,,,,,,
hate,need,dislik,keep,tweet,liter,minut,sorri,,,,,,,,,,
hate,car,total,,,,,,,,,,,,,,,
hate,oh,signific,busi,dam,see,long,know,,,,,,,,,,
hate,never,answer,say,,,,,,,,,,,,,,
hate,dad,ass,,,,,,,,,,,,,,,
hate,feel,rubbish,,,,,,,,,,,,,,,
hate,happen,rubbish,follow,,,,,,,,,,,,,,
hate,work,till,dread,shop,caus,mine,break,,,,,,,,,,
hate,agre,review,process,unfortun,fair,,,,,,,,,,,,
hate,yield,comput,fan,club,,,,,,,,,,,,,
hate,car,get,tow,that,happen,car,last,time,go,reason,,,,,,,
hate,wish,make,hate,commut,sometim,,,,,,,,,,,,
hate,alway,want,perfect,signific,hard,caus,even,know,imposs,,,,,,,,
hate,damn,total,gut,decid,go,tonight,size,,,,,,,,,,
hate,art,state,feel,sick,,,,,,,,,,,,,
hate,go,limit,action,hour,twitter,client,hate,limit,,,,,,,,,
hate,signific,countri,,,,,,,,,,,,,,,
hate,hell,air,today,pack,,,,,,,,,,,,,
hate,sigh,,,,,,,,,,,,,,,,
hate,bad,fuck,day,tonight,well,make,today,,,,,,,,,,
hate,type,fast,good,crave,pizza,hate,job,want,pizza,,,,,,,,
hate,ugh,okay,go,go,shower,shop,mommi,let,hope,pass,fuck,,,,,,
